Uid,Sid,Key,Time,Value,UpdateTime
8283944169,764345307,heart_rate,1749426420,"{""time"":1749426420,""bpm"":49}",1749494665
8283944169,764345307,stress,1749426420,"{""time"":1749426420,""stress"":16}",1749494665
8283944169,764345307,stress,1749426120,"{""time"":1749426120,""stress"":15}",1749494665
8283944169,764345307,spo2,1749425820,"{""time"":1749425820,""spo2"":98}",1749494666
8283944169,764345307,heart_rate,1749425820,"{""time"":1749425820,""bpm"":51}",1749494665
8283944169,764345307,stress,1749425820,"{""time"":1749425820,""stress"":15}",1749494665
8283944169,764345307,stress,1749425520,"{""time"":1749425520,""stress"":16}",1749494665
8283944169,764345307,heart_rate,1749425220,"{""time"":1749425220,""bpm"":52}",1749494665
8283944169,764345307,spo2,1749425220,"{""time"":1749425220,""spo2"":98}",1749494666
8283944169,764345307,stress,1749425220,"{""time"":1749425220,""stress"":16}",1749494665
8283944169,764345307,stress,1749424920,"{""time"":1749424920,""stress"":16}",1749494665
8283944169,764345307,heart_rate,1749424620,"{""time"":1749424620,""bpm"":54}",1749494665
8283944169,764345307,spo2,1749424620,"{""time"":1749424620,""spo2"":98}",1749494666
8283944169,764345307,stress,1749424620,"{""time"":1749424620,""stress"":15}",1749494665
8283944169,764345307,stress,1749424320,"{""time"":1749424320,""stress"":17}",1749494665
8283944169,764345307,heart_rate,1749424020,"{""time"":1749424020,""bpm"":59}",1749494665
8283944169,764345307,stress,1749424020,"{""time"":1749424020,""stress"":16}",1749494665
8283944169,764345307,spo2,1749424020,"{""time"":1749424020,""spo2"":98}",1749494666
8283944169,764345307,stress,1749423720,"{""time"":1749423720,""stress"":16}",1749494665
8283944169,764345307,heart_rate,1749423420,"{""time"":1749423420,""bpm"":57}",1749494665
8283944169,764345307,spo2,1749423420,"{""time"":1749423420,""spo2"":98}",1749494666
8283944169,764345307,stress,1749423420,"{""time"":1749423420,""stress"":15}",1749494665
8283944169,764345307,stress,1749423120,"{""time"":1749423120,""stress"":16}",1749494665
8283944169,764345307,stress,1749422820,"{""time"":1749422820,""stress"":15}",1749494665
8283944169,764345307,heart_rate,1749422820,"{""time"":1749422820,""bpm"":53}",1749494665
8283944169,764345307,spo2,1749422820,"{""time"":1749422820,""spo2"":98}",1749494666
8283944169,764345307,stress,1749422520,"{""time"":1749422520,""stress"":12}",1749494665
8283944169,764345307,spo2,1749422220,"{""time"":1749422220,""spo2"":98}",1749494666
8283944169,764345307,stress,1749422220,"{""time"":1749422220,""stress"":12}",1749494665
8283944169,764345307,heart_rate,1749422220,"{""time"":1749422220,""bpm"":54}",1749494665
8283944169,764345307,stress,1749421920,"{""time"":1749421920,""stress"":16}",1749494665
8283944169,764345307,heart_rate,1749421620,"{""time"":1749421620,""bpm"":55}",1749494665
8283944169,764345307,stress,1749421620,"{""time"":1749421620,""stress"":10}",1749494665
8283944169,764345307,spo2,1749421620,"{""time"":1749421620,""spo2"":97}",1749494666
8283944169,764345307,stress,1749421320,"{""time"":1749421320,""stress"":15}",1749494665
8283944169,764345307,heart_rate,1749421020,"{""time"":1749421020,""bpm"":54}",1749494665
8283944169,764345307,spo2,1749421020,"{""time"":1749421020,""spo2"":98}",1749494666
8283944169,764345307,stress,1749421020,"{""time"":1749421020,""stress"":16}",1749494665
8283944169,764345307,stress,1749420720,"{""time"":1749420720,""stress"":19}",1749494665
8283944169,764345307,heart_rate,1749420420,"{""time"":1749420420,""bpm"":57}",1749494665
8283944169,764345307,spo2,1749420420,"{""time"":1749420420,""spo2"":98}",1749494666
